name,precio_promedio,precio_maximo
Aave,266.3990625,276.65
Algorand,0.177941125,0.19171
Aptos,4.6137500000000005,4.94
Arbitrum,0.33419375,0.351826
Artificial Superintelligence Alliance,0.67659015625,0.720699
Avalanche,17.585,18.6
BNB,651.6325,660.22
Binance Bridged USDC (BNB Smart Chain),0.9998421875,1.001
Binance Bridged USDT (BNB Smart Chain),1.00006653125,1.002
Binance Staked SOL,158.8434375,163.55
Binance-Peg WETH,2457.7978125,2578.0
Bitcoin,106654.4375,109058.0
Bitcoin Cash,507.8671875,523.09
Bitget Token,4.5028125,4.6
Bittensor,325.4859375,334.92
BlackRock USD Institutional Digital Liquidity Fund,1.0,1.0
Bonk,1.4404062499999999e-05,1.647e-05
Cardano,0.5580086875,0.587518
Celestia,1.4156250000000001,1.6
Chainlink,13.0903125,13.57
Coinbase Wrapped BTC,106709.96875,109120.0
Cosmos Hub,4.01625,4.18
Cronos,0.0805260625,0.082856
Dai,0.99975521875,1.0
Dogecoin,0.161801375,0.168765
Ethena,0.26064621875,0.278206
Ethena Staked USDe,1.18,1.18
Ethena USDe,1.0000180625,1.001
Ethereum,2458.223125,2575.98
Ethereum Classic,16.2928125,16.98
Fartcoin,1.07259375,1.16
Fasttoken,4.4259375,4.44
Filecoin,2.2603125,2.38
First Digital USD,0.998124375,1.0
Flare,0.016969040625,0.01735962
Gate,15.571875,15.9
Hedera,0.14801559375,0.1558
Hyperliquid,38.19375,40.16
Injective,10.518125,11.35
Internet Computer,4.8203125,5.04
Jito Staked SOL,181.7025,187.12
Jupiter,0.43846315625,0.46062
Jupiter Perpetuals Liquidity Provider Token,4.461562499999999,4.52
Kaia,0.1621412777777778,0.169799
Kaspa,0.0747618125,0.078196
Kelp DAO Restaked ETH,2575.340625,2701.87
KuCoin,11.0834375,11.2
LEO Token,8.9703125,9.08
Lido Staked Ether,2457.2765625,2577.28
Litecoin,84.9415625,87.5
Lombard Staked BTC,106431.5,108892.0
Mantle,0.5749504375,0.587185
Mantle Staked Ether,2686.12125,2757.18
Monero,315.6215625,322.58
NEAR Protocol,2.1053125,2.24
NEXO,1.2075,1.23
OKB,49.29875,49.95
Official Trump,8.68375,8.86
Ondo,0.75687659375,0.789469
Optimism,0.54445890625,0.565864
PAX Gold,3338.1152,3347.74
POL (ex-MATIC),0.18101178125,0.189637
PayPal USD,0.9994402,0.999782
Pepe,9.5628125e-06,1.019e-05
Pi Network,0.48927184375,0.501253
Polkadot,3.3603125,3.55
Polygon Bridged USDT (Polygon),0.9999959375,1.0
Pudgy Penguins,0.015011893000000002,0.01535127
Quant,105.268125,109.4
Render,3.1375,3.28
Rocket Pool ETH,2800.7621875,2934.73
SPX6900,1.1466875,1.25
Sei,0.277643375,0.289268
Shiba Inu,1.14096875e-05,1.188e-05
Sky,0.0787345625,0.082362
Solana,149.7940625,154.32
Sonic,0.30628209375,0.325224
Stacks,0.6516409375,0.691802
StakeWise Staked ETH,2703.8328571428574,2708.23
Stellar,0.2310918125,0.239267
Sui,2.7446875,2.9
SyrupUSDC,1.11,1.11
TNQ,10.26,10.26
TRON,0.2807891875,0.285901
Tether,1.0,1.0
Tokenize Xchange,23.9371875,24.88
Toncoin,2.824375,2.9
USD1,0.99990734375,1.001
USDC,0.99987609375,0.99991
USDS,0.99980728125,0.999889
USDT0,1.000324625,1.002
USDtb,0.9998715312500001,1.0
Uniswap,6.851875,7.37
VeChain,0.0208256303125,0.02196623
Virtuals Protocol,1.480625,1.62
WETH,2458.089375,2579.11
WhiteBIT Coin,44.1021875,44.68
Worldcoin,0.88178928125,0.953554
Wrapped Bitcoin,106586.34375,109108.0
Wrapped eETH,2631.5965625,2758.83
Wrapped stETH,2962.911875,3110.14
XDC Network,0.0589824375,0.060599
XRP,2.199375,2.24
sUSDS,1.05715625,1.058
